DISTRICT,mean,median,lower_CI,upper_CI
Bunda,19.19,6.97,14.65,25.43
Butiama,11.04,9.66,9.53,12.54
Gairo,11.53,5.51,7.94,15.12
Kilombero,53.74,13.66,45.98,62.17
Kilosa,41.39,22.99,35.86,47.5
Kilwa,70.1,43.24,59.84,81.25
Lindi,24.85,20.97,21.42,28.08
Liwale,43.72,23.44,34.44,54.01
Malinyi,18.95,12.01,14.63,23.85
Masasi,39,17.68,21.88,66.24
Morogoro,17.73,9.41,16.27,19.24
Mtwara,13.68,4.94,11.06,16.18
Musoma,15.33,6.02,9.15,25.67
Mvomero,35.76,22.01,23.65,48.25
Nachingwea,25.02,17.33,20.29,30.32
Nanyumbu,32.6,26.56,16.39,61.15
Newala,30.03,36.05,21.97,37.72
Rorya,13.07,12.49,11.22,15.13
Ruangwa,18.48,14.28,16.13,21.12
Serengeti,26.2,27.03,24.1,28.61
Tandahimba,15.46,6.39,9.59,23.37
Tarime,6.11,3.12,4.9,7.43
Ulanga,38.09,25.23,32.29,45.16
